time_date_string,user_id,source_app,language,is_user_default_profile,is_user_geo_enabled,country,possibly_sensitive,user_profile_background_color,user.profile_text_color,user_profile_link_color,is_truncated,display_text_range,user.statuses_count,user_friends_count,user_followers_count,user_lists_count,number_of_user_mentions_in_tweet,number_of_medias_in_tweet,number_of_urls_in_tweet
2019-01-20T23:26:38.142Z,7.01E+17,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,1B95E0,TRUE,140,4587,560,243,8,1,0,1
2019-01-20T17:05:16.057Z,66874140,Twitter for iPhone,en,FALSE,TRUE,United States,,0,333333,0084B4,FALSE,,645,419,470,2,0,0,0
2019-01-20T04:25:02.826Z,9.72E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,42,976,737,301,1,4,0,0
2019-01-20T12:34:58.112Z,2194498441,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,3232,371,494,0,0,0,0
2019-01-20T22:36:24.782Z,3188778143,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,12,56467,950,1767,19,1,0,0
2019-01-20T10:08:21.045Z,186650185,Twitter for iPhone,en,FALSE,TRUE,United States,,131516,333333,55197D,FALSE,,83146,534,1695,20,0,0,0
2019-01-20T19:39:51.911Z,628901222,Twitter for Android,es,FALSE,TRUE,Argentina,,C0DEED,333333,0084B4,FALSE,62,14004,691,539,3,2,0,0
2019-01-20T04:35:20.507Z,1353500083,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,246,98,16,0,0,0,0
2019-01-20T23:17:43.420Z,1466060198,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,11623,820,628,8,0,0,0
2019-01-20T17:06:34.868Z,409685066,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,0099B9,3C3940,0099B9,FALSE,,2807,440,42,0,0,0,0
2019-01-20T09:12:47.174Z,9.65E+17,Twitter for Android,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,,1695,103,41,0,0,0,0
2019-01-20T23:59:58.292Z,349842414,Twitter for Android,und,FALSE,TRUE,United States,FALSE,C00000,333333,1111,FALSE,11,4562,503,144,8,1,1,0
2019-01-20T13:48:13.598Z,17809655,Twitter for iPhone,en,FALSE,TRUE,United States,FALSE,352726,3E4415,D02B55,TRUE,0,36524,3902,8255,203,0,0,1
2019-01-20T04:54:00.158Z,2437669592,Twitter for iPhone,en,FALSE,TRUE,United States,,C0DEED,333333,0084B4,FALSE,48,197930,573,803,50,1,0,0
2019-01-20T16:42:11.925Z,492806232,Twitter for iPhone,en,FALSE,TRUE,United States,,FFFFFF,0,0,FALSE,,1723,89,83,0,0,0,0
2019-01-20T18:08:54.880Z,1140232866,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,FALSE,C0DEED,333333,1DA1F2,FALSE,0,1285,309,293,5,0,1,0
2019-01-20T02:47:36.468Z,47151236,Twitter for iPhone,en,FALSE,TRUE,United States,,9AE4E8,333333,0084B4,FALSE,,266949,2072,6695,213,0,0,0
2019-01-20T17:57:16.998Z,1.05E+18,Twitter for Android,en,TRUE,TRUE,India,FALSE,F5F8FA,333333,1DA1F2,FALSE,0,2494,3779,737,0,0,1,0
2019-01-20T15:34:43.726Z,547993745,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,71,34046,53,105,10,5,0,1
2019-01-20T16:55:42.314Z,212735384,Twitter for iPhone,und,FALSE,TRUE,United Kingdom,,FA743E,3E4415,7FDBB6,FALSE,22,5576,1289,515,1,3,0,0
2019-01-20T00:53:25.570Z,3030725250,Twitter for Android,und,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,13,26636,4512,3040,2,1,0,0
2019-01-20T19:52:19.452Z,9.51E+17,Twitter for Android,und,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,TRUE,117,14551,484,418,0,8,0,1
2019-01-20T21:21:41.570Z,164523629,Twitter for iPhone,en,FALSE,TRUE,United States,,131516,0,ABB8C2,FALSE,10,7829,422,47,2,1,0,0
2019-01-20T12:14:12.480Z,64379990,Twitter for Android,en,FALSE,TRUE,United Kingdom,,FF6699,362720,B40B43,FALSE,13,31750,370,785,32,1,0,0
2019-01-20T21:36:35.835Z,2481055512,Twitter for Android,en,FALSE,TRUE,United States,,0,0,0,FALSE,61,50886,11019,15708,412,1,0,0
2019-01-20T09:46:55.038Z,24162401,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,26,7764,1190,1720,22,1,0,0
2019-01-20T13:26:23.954Z,2850720369,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,1B95E0,FALSE,26,1566,169,85,0,2,0,0
2019-01-20T00:52:27.622Z,36344768,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,49,19,40,6,0,2,0,0
2019-01-20T23:52:41.507Z,16566770,Twitter for Android,en,FALSE,TRUE,United States,,91304,696545,7D7D7D,FALSE,43,35529,1684,2139,66,1,0,0
2019-01-20T19:59:45.924Z,8.06E+17,Twitter for iPhone,en,FALSE,TRUE,United States,FALSE,0,0,91D2FA,FALSE,59,8289,39,809,0,1,1,0
2019-01-20T09:43:55.427Z,120616007,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,140,17644,450,317,4,3,0,0
2019-01-20T17:50:18.841Z,2541195355,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,131516,333333,9999,FALSE,,8036,456,521,30,0,0,0
2019-01-20T21:40:52.411Z,1382694253,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,11,12505,760,189,2,1,0,0
2019-01-20T20:18:42.860Z,783467100,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,16,678,137,43,1,1,0,0
2019-01-20T23:19:39.847Z,2500206224,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,71319,1730,998,26,0,0,0
2019-01-20T21:15:04.315Z,54107538,Twitter for iPhone,en,FALSE,TRUE,United States,,BADFCD,50505,FF0000,FALSE,,61668,533,2281,22,0,0,0
2019-01-20T13:03:09.647Z,1.02E+18,Twitter for iPhone,und,TRUE,TRUE,United Kingdom,FALSE,F5F8FA,333333,1DA1F2,FALSE,0,384,627,11,1,0,1,0
